track_id,album_id,song,media_type,bytes
176,16,The Winner Loses,MPEG audio file,12843821
177,16,There Goes The Neighborhood,MPEG audio file,11443471
178,16,Oprah,MPEG audio file,224313
179,16,Evil Dick,MPEG audio file,7828873
180,16,Body Count Anthem,MPEG audio file,5463690
181,16,Momma's Gotta Die Tonight,MPEG audio file,12122946
182,16,Freedom Of Speech,MPEG audio file,9337917
183,17,King In Crimson,MPEG audio file,9218499
184,17,Chemical Wedding,MPEG audio file,8022764
185,17,The Tower,MPEG audio file,9435693
186,17,Killing Floor,MPEG audio file,8854240
187,17,Book Of Thel,MPEG audio file,16034404
188,17,Gates Of Urizen,MPEG audio file,8627004
189,17,Jerusalem,MPEG audio file,13194463
190,17,Trupets Of Jericho,MPEG audio file,11820908
191,17,Machine Men,MPEG audio file,11138147
192,17,The Alchemist,MPEG audio file,16545657
193,17,Realword,MPEG audio file,7802095
194,18,First Time I Met The Blues,MPEG audio file,4604995
195,18,Let Me Love You Baby,MPEG audio file,5716994
196,18,Stone Crazy,MPEG audio file,14184984
197,18,Pretty Baby,MPEG audio file,7848282
198,18,When My Left Eye Jumps,MPEG audio file,7685363
199,18,Leave My Girl Alone,MPEG audio file,6859518
200,18,She Suits Me To A Tee,MPEG audio file,4456321
201,18,Keep It To Myself (Aka Keep It To Yourself),MPEG audio file,5487056
202,18,My Time After Awhile,MPEG audio file,6022698
203,18,Too Many Ways (Alternate),MPEG audio file,4459946
204,18,Talkin' 'Bout Women Obviously,MPEG audio file,19161377
205,19,Jorge Da Capadócia,MPEG audio file,5842196
206,19,Prenda Minha,MPEG audio file,3225364
207,19,Meditação,MPEG audio file,4865597
208,19,Terra,MPEG audio file,15889054
209,19,Eclipse Oculto,MPEG audio file,7382703
210,19,"Texto ""Verdade Tropical""",MPEG audio file,2752161
211,19,Bem Devagar,MPEG audio file,4333651
212,19,Drão,MPEG audio file,5065932
213,19,Saudosismo,MPEG audio file,4726981
214,19,Carolina,MPEG audio file,5924159
215,19,Sozinho,MPEG audio file,6253200
216,19,Esse Cara,MPEG audio file,7217126
217,19,Mel,MPEG audio file,9854062
218,19,Linha Do Equador,MPEG audio file,10003747
219,19,Odara,MPEG audio file,4704104
220,19,A Luz De Tieta,MPEG audio file,8507446
221,19,Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,MPEG audio file,10364247
222,19,Vida Boa,MPEG audio file,9411272
223,20,Sozinho (Hitmakers Classic Mix),MPEG audio file,14462072
224,20,Sozinho (Hitmakers Classic Radio Edit),MPEG audio file,6455134
225,20,Sozinho (Caêdrum 'n' Bass),MPEG audio file,10975007
226,19,Carolina,MPEG audio file,5375395
227,21,Essa Moça Ta Diferente,MPEG audio file,5568574
228,21,Vai Passar,MPEG audio file,12359161
229,21,Samba De Orly,MPEG audio file,5431854
230,21,"Bye, Bye Brasil",MPEG audio file,9499590
231,21,Atras Da Porta,MPEG audio file,6132843
232,21,Tatuagem,MPEG audio file,5645703
233,21,O Que Será (À Flor Da Terra),MPEG audio file,5574848
234,21,Morena De Angola,MPEG audio file,6373932
235,21,Apesar De Você,MPEG audio file,7886937
236,21,A Banda,MPEG audio file,4349539
237,21,Minha Historia,MPEG audio file,6029673
238,21,Com Açúcar E Com Afeto,MPEG audio file,5846442
239,21,Brejo Da Cruz,MPEG audio file,7270749
240,21,Meu Caro Amigo,MPEG audio file,8778172
241,21,Geni E O Zepelim,MPEG audio file,10342226
242,21,Trocando Em Miúdos,MPEG audio file,5461468
243,21,Vai Trabalhar Vagabundo,MPEG audio file,4693941
244,21,Gota D'água,MPEG audio file,5074189
245,21,Construção / Deus Lhe Pague,MPEG audio file,12675305
246,22,Mateus Enter,MPEG audio file,1103013
247,22,O Cidadão Do Mundo,MPEG audio file,6724966
248,22,Etnia,MPEG audio file,5061413
249,22,Quilombo Groove [Instrumental],MPEG audio file,5042447
250,22,Macô,MPEG audio file,8253934
251,22,Um Passeio No Mundo Livre,MPEG audio file,7984291
252,22,Samba Do Lado,MPEG audio file,7541688
253,22,Maracatu Atômico,MPEG audio file,9670057
254,22,O Encontro De Isaac Asimov Com Santos Dumont No Céu,MPEG audio file,3240816
255,22,Corpo De Lama,MPEG audio file,7714954
256,22,Sobremesa,MPEG audio file,7960868
257,22,Manguetown,MPEG audio file,6475159
258,22,Um Satélite Na Cabeça,MPEG audio file,4272821
259,22,Baião Ambiental [Instrumental],MPEG audio file,5198539
260,22,Sangue De Bairro,MPEG audio file,4415557
261,22,Enquanto O Mundo Explode,MPEG audio file,2968650
262,22,Interlude Zumbi,MPEG audio file,2408550
263,22,Criança De Domingo,MPEG audio file,6984813
264,22,Amor De Muito,MPEG audio file,5881293
265,22,Samidarish [Instrumental],MPEG audio file,8911641
266,22,Maracatu Atômico [Atomic Version],MPEG audio file,9019677
267,22,Maracatu Atômico [Ragga Mix],MPEG audio file,6986421
268,22,Maracatu Atômico [Trip Hop],MPEG audio file,7380787
269,23,Banditismo Por Uma Questa,MPEG audio file,10251097
270,23,Banditismo Por Uma Questa,MPEG audio file,8147224
271,23,Rios Pontes & Overdrives,MPEG audio file,9659152
272,23,Cidade,MPEG audio file,7241817
273,23,Praiera,MPEG audio file,6172781
274,23,Samba Makossa,MPEG audio file,9095410
275,23,Da Lama Ao Caos,MPEG audio file,8378065
276,23,Maracatu De Tiro Certeiro,MPEG audio file,2901397
277,23,Salustiano Song,MPEG audio file,7183969
278,23,Antene Se,MPEG audio file,8253618
279,23,Risoflora,MPEG audio file,3536938
280,23,Lixo Do Mangue,MPEG audio file,6534200
281,23,Computadores Fazem Arte,MPEG audio file,13702771
282,24,Girassol,MPEG audio file,8327676
283,24,A Sombra Da Maldade,MPEG audio file,7697230
284,24,Johnny B. Goode,MPEG audio file,8505985
285,24,Soldado Da Paz,MPEG audio file,6455080
286,24,Firmamento,MPEG audio file,7402658
287,24,Extra,MPEG audio file,10078050
288,24,O Erê,MPEG audio file,7866924
289,24,Podes Crer,MPEG audio file,7747747
290,24,A Estrada,MPEG audio file,8275673
291,24,Berlim,MPEG audio file,6920424
292,24,Já Foi,MPEG audio file,7388466
293,24,Onde Você Mora?,MPEG audio file,8502588
294,24,Pensamento,MPEG audio file,5748424
295,24,Conciliação,MPEG audio file,8552474
296,24,Realidade Virtual,MPEG audio file,6503533
297,24,Mensagem,MPEG audio file,7488852
298,24,A Cor Do Sol,MPEG audio file,7663348
299,24,Onde Você Mora?,MPEG audio file,10056970
300,24,O Erê,MPEG audio file,6950332
301,24,A Sombra Da Maldade,MPEG audio file,9544383
302,24,A Estrada,MPEG audio file,9344477
303,25,Falar A Verdade,MPEG audio file,8189093
304,24,Firmamento,MPEG audio file,7507866
305,24,Pensamento,MPEG audio file,6399761
306,24,Realidade Virtual,MPEG audio file,8069934
307,25,Doutor,MPEG audio file,5950952
308,25,Na Frente Da TV,MPEG audio file,9633659
309,25,Downtown,MPEG audio file,8024386
310,25,Sábado A Noite,MPEG audio file,8895073
311,24,A Cor Do Sol,MPEG audio file,9142937
312,25,Eu Também Quero Beijar,MPEG audio file,7029400
313,26,Noite Do Prazer,MPEG audio file,10309980
314,26,À Francesa,MPEG audio file,8150846
315,26,Cada Um Cada Um (A Namoradeira),MPEG audio file,8441034
316,19,Linha Do Equador,MPEG audio file,8123466
317,26,Amor Demais,MPEG audio file,8420093
318,26,Férias,MPEG audio file,8731945
319,26,Gostava Tanto De Você,MPEG audio file,7685326
320,26,Flor Do Futuro,MPEG audio file,9205941
321,26,Felicidade Urgente,MPEG audio file,8873358
322,26,Livre Pra Viver,MPEG audio file,7111596
323,27,"Dig-Dig, Lambe-Lambe (Ao Vivo)",MPEG audio file,6892516
324,27,Pererê,MPEG audio file,6643207
325,27,TriboTchan,MPEG audio file,6507950
326,27,"Tapa Aqui, Descobre Ali",MPEG audio file,6327391
327,27,Daniela,MPEG audio file,7748006
328,27,Bate Lata,MPEG audio file,7034985
329,27,Garotas do Brasil,MPEG audio file,6973625
330,27,Levada do Amor (Ailoviu),MPEG audio file,6457752
331,27,Lavadeira,MPEG audio file,7254147
332,27,Reboladeira,MPEG audio file,7027525
333,27,É que Nessa Encarnação Eu Nasci Manga,MPEG audio file,6568081
334,27,Reggae Tchan,MPEG audio file,6931328
335,27,My Love,MPEG audio file,6772813
336,27,Latinha de Cerveja,MPEG audio file,5532564
337,28,You Shook Me,MPEG audio file,10249958
338,28,I Can't Quit You Baby,MPEG audio file,8581414
339,28,Communication Breakdown,MPEG audio file,6287257
340,28,Dazed and Confused,MPEG audio file,13035765
341,28,The Girl I Love She Got Long Black Wavy Hair,MPEG audio file,5995686
342,28,What is and Should Never Be,MPEG audio file,8497116
343,28,Communication Breakdown(2),MPEG audio file,5261022
344,28,Travelling Riverside Blues,MPEG audio file,10232581
345,28,Whole Lotta Love,MPEG audio file,12258175
346,28,Somethin' Else,MPEG audio file,4165650
347,28,Communication Breakdown(3),MPEG audio file,6041133
348,28,I Can't Quit You Baby(2),MPEG audio file,12377615
349,28,You Shook Me(2),MPEG audio file,20138673
350,28,How Many More Times,MPEG audio file,23092953
351,29,Debra Kadabra,MPEG audio file,7649679
352,29,Carolina Hard-Core Ecstasy,MPEG audio file,11731061
353,29,Sam With The Showing Scalp Flat Top,MPEG audio file,5572993
354,29,Poofter's Froth Wyoming Plans Ahead,MPEG audio file,6007019
355,29,200 Years Old,MPEG audio file,8912465
356,29,Cucamonga,MPEG audio file,4728586
357,29,Advance Romance,MPEG audio file,22080051
358,29,Man With The Woman Head,MPEG audio file,2922044
359,29,Muffin Man,MPEG audio file,10891682
360,30,Vai-Vai 2001,MPEG audio file,9402241
361,30,X-9 2001,MPEG audio file,9310370
362,30,Gavioes 2001,MPEG audio file,9616640
363,30,Nene 2001,MPEG audio file,9694508
364,30,Rosas De Ouro 2001,MPEG audio file,9721084
365,30,Mocidade Alegre 2001,MPEG audio file,9599937
366,30,Camisa Verde 2001,MPEG audio file,9633755
367,30,Leandro De Itaquera 2001,MPEG audio file,9451845
368,30,Tucuruvi 2001,MPEG audio file,9883335
369,30,Aguia De Ouro 2001,MPEG audio file,9698729
370,30,Ipiranga 2001,MPEG audio file,8522591
371,30,Morro Da Casa Verde 2001,MPEG audio file,9718778
372,30,Perola Negra 2001,MPEG audio file,9619196
373,30,Sao Lucas 2001,MPEG audio file,10020122
374,31,Guanabara,MPEG audio file,8499591
375,31,Mas Que Nada,MPEG audio file,8255254
376,31,Vôo Sobre o Horizonte,MPEG audio file,7528825
377,31,A Paz,MPEG audio file,8619173
378,31,Wave (Vou te Contar),MPEG audio file,9057557
379,31,Água de Beber,MPEG audio file,4866476
380,31,Samba da Bençaco,MPEG audio file,9440676
381,31,Pode Parar,MPEG audio file,6046678
382,31,Menino do Rio,MPEG audio file,8737489
383,31,Ando Meio Desligado,MPEG audio file,6547648
384,31,Mistério da Raça,MPEG audio file,6191752
385,31,All Star,MPEG audio file,5891697
386,31,Menina Bonita,MPEG audio file,7938246
387,31,Pescador de Ilusões,MPEG audio file,8267067
388,31,À Vontade (Live Mix),MPEG audio file,5972430
389,31,Maria Fumaça,MPEG audio file,4743149
390,31,Sambassim (dj patife remix),MPEG audio file,7243166
391,6,Garota De Ipanema,MPEG audio file,9141343
392,32,Tim Tim Por Tim Tim,MPEG audio file,7143328
393,32,Tarde Em Itapoã,MPEG audio file,10344491
394,32,Tanto Tempo,MPEG audio file,5572240
395,32,Eu Vim Da Bahia - Live,MPEG audio file,5115428
396,32,Alô Alô Marciano,MPEG audio file,8013065
397,32,Linha Do Horizonte,MPEG audio file,9275929
398,32,Only A Dream In Rio,MPEG audio file,12192989
399,32,Abrir A Porta,MPEG audio file,8991141
400,32,Alice,MPEG audio file,5594341
401,32,Momentos Que Marcam,MPEG audio file,9313740
402,32,Um Jantar Pra Dois,MPEG audio file,7819755
403,32,Bumbo Da Mangueira,MPEG audio file,9073350
404,32,Mr Funk Samba,MPEG audio file,7102545
405,32,Santo Antonio,MPEG audio file,5492069
406,32,Por Você,MPEG audio file,6792493
407,32,Só Tinha De Ser Com Você,MPEG audio file,13085596
408,33,Free Speech For The Dumb,MPEG audio file,5076048
409,33,It's Electric,MPEG audio file,6978601
410,33,Sabbra Cadabra,MPEG audio file,12418147
411,33,Turn The Page,MPEG audio file,11946327
412,33,Die Die My Darling,MPEG audio file,4867667
413,33,Loverman,MPEG audio file,15446975
414,33,Mercyful Fate,MPEG audio file,21942829
415,33,Astronomy,MPEG audio file,13065612
416,33,Whiskey In The Jar,MPEG audio file,9943129
417,33,Tuesday's Gone,MPEG audio file,17900787
418,33,The More I See,MPEG audio file,9378873
419,34,A Kind Of Magic,MPEG audio file,8689618
420,34,Under Pressure,MPEG audio file,7739042
421,34,Radio GA GA,MPEG audio file,11358573
422,34,I Want It All,MPEG audio file,7876564
423,34,I Want To Break Free,MPEG audio file,8552861
424,34,Innuendo,MPEG audio file,12664591
425,34,It's A Hard Life,MPEG audio file,8112242
426,34,Breakthru,MPEG audio file,8150479
427,34,Who Wants To Live Forever,MPEG audio file,9577577
428,34,Headlong,MPEG audio file,8921404
429,34,The Miracle,MPEG audio file,9671923
430,34,I'm Going Slightly Mad,MPEG audio file,8192339
431,34,The Invisible Man,MPEG audio file,7920353
432,34,Hammer To Fall,MPEG audio file,7255404
433,34,Friends Will Be Friends,MPEG audio file,8114582
434,34,The Show Must Go On,MPEG audio file,8526760
435,34,One Vision,MPEG audio file,7936928
436,35,Detroit Rock City,MPEG audio file,7146372
437,35,Black Diamond,MPEG audio file,10266007
438,35,Hard Luck Woman,MPEG audio file,7109267
439,35,Sure Know Something,MPEG audio file,7939886
440,35,Love Gun,MPEG audio file,6424915
441,35,Deuce,MPEG audio file,6097210
442,35,Goin' Blind,MPEG audio file,7045314
443,35,Shock Me,MPEG audio file,7529336
444,35,Do You Love Me,MPEG audio file,6976194
445,35,She,MPEG audio file,8229734
446,35,I Was Made For Loving You,MPEG audio file,9018078
447,35,Shout It Out Loud,MPEG audio file,7194424
448,35,God Of Thunder,MPEG audio file,8309077
449,35,Calling Dr. Love,MPEG audio file,7395034
450,35,Beth,MPEG audio file,5360574
451,35,Strutter,MPEG audio file,6317021
452,35,Rock And Roll All Nite,MPEG audio file,5735902
453,35,Cold Gin,MPEG audio file,8609783
454,35,Plaster Caster,MPEG audio file,6801116
455,35,God Gave Rock 'n' Roll To You,MPEG audio file,10441590
456,36,Heart of the Night,MPEG audio file,9098263
457,36,De La Luz,MPEG audio file,10518284
458,36,Westwood Moon,MPEG audio file,9765802
459,36,Midnight,MPEG audio file,8851060
460,36,Playtime,MPEG audio file,9070880
461,36,Surrender,MPEG audio file,9422926
462,36,Valentino's,MPEG audio file,9848545
463,36,Believe,MPEG audio file,10317185
464,36,As We Sleep,MPEG audio file,10429398
465,36,When Evening Falls,MPEG audio file,9863942
466,36,J Squared,MPEG audio file,9480777
467,36,Best Thing,MPEG audio file,9069394
468,37,Maria,MPEG audio file,5484747
469,37,Poprocks And Coke,MPEG audio file,5243078
470,37,Longview,MPEG audio file,7714939
471,37,Welcome To Paradise,MPEG audio file,7406008
472,37,Basket Case,MPEG audio file,5951736
473,37,When I Come Around,MPEG audio file,5839426
474,35,She,MPEG audio file,4425128
475,37,J.A.R. (Jason Andrew Relva),MPEG audio file,5645755
476,37,Geek Stink Breath,MPEG audio file,4408983
477,37,Brain Stew,MPEG audio file,6305550
478,37,Jaded,MPEG audio file,2950224
479,37,Walking Contradiction,MPEG audio file,4932366
480,37,Stuck With Me,MPEG audio file,4431357
481,37,Hitchin' A Ride,MPEG audio file,5616891
482,37,Good Riddance (Time Of Your Life),MPEG audio file,5075241
483,37,Redundant,MPEG audio file,6481753
484,37,Nice Guys Finish Last,MPEG audio file,5604618
485,37,Minority,MPEG audio file,5535061
486,14,Warning,MPEG audio file,7343176
487,37,Waiting,MPEG audio file,6316430
488,37,Macy's Day Parade,MPEG audio file,7075573
489,38,Into The Light,MPEG audio file,2452653
490,38,River Song,MPEG audio file,14359478
491,38,She Give Me ...,MPEG audio file,8385478
492,38,Don't You Cry,MPEG audio file,11269612
493,38,Love Is Blind,MPEG audio file,11409720
494,38,Slave,MPEG audio file,9425200
495,38,Cry For Love,MPEG audio file,9567075
496,38,Living On Love,MPEG audio file,12785876
497,38,Midnight Blue,MPEG audio file,9750990
498,38,Too Many Tears,MPEG audio file,11810238
499,38,Don't Lie To Me,MPEG audio file,9288007
500,38,Wherever You May Go,MPEG audio file,7803074
501,39,Grito De Alerta,MPEG audio file,6539422
502,39,Não Dá Mais Pra Segurar (Explode Coração),MPEG audio file,7083012
503,39,Começaria Tudo Outra Vez,MPEG audio file,6473395
504,39,O Que É O Que É ?,MPEG audio file,8650647
505,39,Sangrando,MPEG audio file,5494406
506,39,"Diga Lá, Coração",MPEG audio file,8280636
507,39,Lindo Lago Do Amor,MPEG audio file,8353191
508,39,Eu Apenas Queria Que Voçê Soubesse,MPEG audio file,5130056
509,39,Com A Perna No Mundo,MPEG audio file,7747108
510,39,E Vamos À Luta,MPEG audio file,7585112
511,39,Um Homem Também Chora (Guerreiro Menino),MPEG audio file,6854219
512,39,Comportamento Geral,MPEG audio file,5997444
513,39,Ponto De Interrogação,MPEG audio file,5946265
514,39,"Espere Por Mim, Morena",MPEG audio file,6796523
515,21,Meia-Lua Inteira,MPEG audio file,7466288
516,21,Voce e Linda,MPEG audio file,8050268
517,21,Um Indio,MPEG audio file,6453213
518,21,Podres Poderes,MPEG audio file,8622495
519,21,Voce Nao Entende Nada - Cotidiano,MPEG audio file,13885612
520,21,O Estrangeiro,MPEG audio file,12472890
521,31,Menino Do Rio,MPEG audio file,4862277
522,21,Qualquer Coisa,MPEG audio file,6372433
523,21,Sampa,MPEG audio file,6151831
524,21,Queixa,MPEG audio file,9953962
525,21,O Leaozinho,MPEG audio file,6098150
526,21,Fora Da Ordem,MPEG audio file,11746781
527,19,Terra,MPEG audio file,13224055
528,21,"Alegria, Alegria",MPEG audio file,5497025
529,40,Balada Do Louco,MPEG audio file,7852328
530,31,Ando Meio Desligado,MPEG audio file,9484504
531,40,Top Top,MPEG audio file,4875374
532,40,Baby,MPEG audio file,5798202
533,40,A E O Z,MPEG audio file,16873005
534,40,Panis Et Circenses,MPEG audio file,4069688
535,40,Chão De Estrelas,MPEG audio file,9433620
536,40,Vida De Cachorro,MPEG audio file,6411149
537,40,Bat Macumba,MPEG audio file,6295223
538,40,Desculpe Babe,MPEG audio file,5637959
539,40,Rita Lee,MPEG audio file,6270503
540,40,"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll",MPEG audio file,7346254
541,40,Banho De Lua,MPEG audio file,7232123
542,40,Meu Refrigerador Não Funciona,MPEG audio file,12495906
543,41,Burn,MPEG audio file,14775708
544,41,Stormbringer,MPEG audio file,9050022
545,41,Gypsy,MPEG audio file,11046952
546,41,Lady Double Dealer,MPEG audio file,7608759
547,41,Mistreated,MPEG audio file,24596235
548,41,Smoke On The Water,MPEG audio file,20103125
549,41,You Fool No One,MPEG audio file,26369966
550,42,Custard Pie,MPEG audio file,8348257
551,42,The Rover,MPEG audio file,11011286
552,42,In My Time Of Dying,MPEG audio file,21676727
553,42,Houses Of The Holy,MPEG audio file,7972503
554,42,Trampled Under Foot,MPEG audio file,11154468
555,42,Kashmir,MPEG audio file,16686580
556,43,Imperatriz,MPEG audio file,11348710
557,43,Beija-Flor,MPEG audio file,10991159
