id,artist,album,song,playlist,media_type,genre,Bytes
56,"Alice In Chains",Facelift,"Love, Hate, Love",Music,"MPEG audio file",Rock,12575396
56,"Alice In Chains",Facelift,"Love, Hate, Love","90’s Music","MPEG audio file",Rock,12575396
57,"Alice In Chains",Facelift,"It Ain't Like That",Music,"MPEG audio file",Rock,8993793
57,"Alice In Chains",Facelift,"It Ain't Like That","90’s Music","MPEG audio file",Rock,8993793
58,"Alice In Chains",Facelift,Sunshine,Music,"MPEG audio file",Rock,9216057
58,"Alice In Chains",Facelift,Sunshine,"90’s Music","MPEG audio file",Rock,9216057
59,"Alice In Chains",Facelift,"Put You Down",Music,"MPEG audio file",Rock,6420530
59,"Alice In Chains",Facelift,"Put You Down","90’s Music","MPEG audio file",Rock,6420530
60,"Alice In Chains",Facelift,Confusion,Music,"MPEG audio file",Rock,11183647
60,"Alice In Chains",Facelift,Confusion,"90’s Music","MPEG audio file",Rock,11183647
61,"Alice In Chains",Facelift,"I Know Somethin (Bout You)",Music,"MPEG audio file",Rock,8497788
61,"Alice In Chains",Facelift,"I Know Somethin (Bout You)","90’s Music","MPEG audio file",Rock,8497788
62,"Alice In Chains",Facelift,"Real Thing",Music,"MPEG audio file",Rock,7937731
62,"Alice In Chains",Facelift,"Real Thing","90’s Music","MPEG audio file",Rock,7937731
63,"Antônio Carlos Jobim","Warner 25 Anos",Desafinado,Music,"MPEG audio file",Jazz,5990473
64,"Antônio Carlos Jobim","Warner 25 Anos","Garota De Ipanema",Music,"MPEG audio file",Jazz,9348428
65,"Antônio Carlos Jobim","Warner 25 Anos","Samba De Uma Nota Só (One Note Samba)",Music,"MPEG audio file",Jazz,4535401
66,"Antônio Carlos Jobim","Warner 25 Anos","Por Causa De Você",Music,"MPEG audio file",Jazz,5536496
67,"Antônio Carlos Jobim","Warner 25 Anos",Ligia,Music,"MPEG audio file",Jazz,8226934
68,"Antônio Carlos Jobim","Warner 25 Anos",Fotografia,Music,"MPEG audio file",Jazz,4198774
69,"Antônio Carlos Jobim","Warner 25 Anos","Dindi (Dindi)",Music,"MPEG audio file",Jazz,8149148
70,"Antônio Carlos Jobim","Warner 25 Anos","Se Todos Fossem Iguais A Você (Instrumental)",Music,"MPEG audio file",Jazz,4393377
71,"Antônio Carlos Jobim","Warner 25 Anos","Falando De Amor",Music,"MPEG audio file",Jazz,7121735
72,"Antônio Carlos Jobim","Warner 25 Anos",Angela,Music,"MPEG audio file",Jazz,5574957
73,"Antônio Carlos Jobim","Warner 25 Anos","Corcovado (Quiet Nights Of Quiet Stars)",Music,"MPEG audio file",Jazz,6687994
74,"Antônio Carlos Jobim","Warner 25 Anos","Outra Vez",Music,"MPEG audio file",Jazz,4110053
75,"Antônio Carlos Jobim","Warner 25 Anos","O Boto (Bôto)",Music,"MPEG audio file",Jazz,12089673
76,"Antônio Carlos Jobim","Warner 25 Anos","Canta, Canta Mais",Music,"MPEG audio file",Jazz,8719426
77,Apocalyptica,"Plays Metallica By Four Cellos","Enter Sandman",Music,"MPEG audio file",Metal,7286305
77,Apocalyptica,"Plays Metallica By Four Cellos","Enter Sandman","90’s Music","MPEG audio file",Metal,7286305
78,Apocalyptica,"Plays Metallica By Four Cellos","Master Of Puppets",Music,"MPEG audio file",Metal,14375310
78,Apocalyptica,"Plays Metallica By Four Cellos","Master Of Puppets","90’s Music","MPEG audio file",Metal,14375310
79,Apocalyptica,"Plays Metallica By Four Cellos","Harvester Of Sorrow",Music,"MPEG audio file",Metal,12372536
79,Apocalyptica,"Plays Metallica By Four Cellos","Harvester Of Sorrow","90’s Music","MPEG audio file",Metal,12372536
80,Apocalyptica,"Plays Metallica By Four Cellos","The Unforgiven",Music,"MPEG audio file",Metal,10422447
80,Apocalyptica,"Plays Metallica By Four Cellos","The Unforgiven","90’s Music","MPEG audio file",Metal,10422447
81,Apocalyptica,"Plays Metallica By Four Cellos","Sad But True",Music,"MPEG audio file",Metal,9405526
81,Apocalyptica,"Plays Metallica By Four Cellos","Sad But True","90’s Music","MPEG audio file",Metal,9405526
82,Apocalyptica,"Plays Metallica By Four Cellos","Creeping Death",Music,"MPEG audio file",Metal,10110980
82,Apocalyptica,"Plays Metallica By Four Cellos","Creeping Death","90’s Music","MPEG audio file",Metal,10110980
83,Apocalyptica,"Plays Metallica By Four Cellos","Wherever I May Roam",Music,"MPEG audio file",Metal,12033110
83,Apocalyptica,"Plays Metallica By Four Cellos","Wherever I May Roam","90’s Music","MPEG audio file",Metal,12033110
84,Apocalyptica,"Plays Metallica By Four Cellos","Welcome Home (Sanitarium)",Music,"MPEG audio file",Metal,11406431
84,Apocalyptica,"Plays Metallica By Four Cellos","Welcome Home (Sanitarium)","90’s Music","MPEG audio file",Metal,11406431
85,Audioslave,Audioslave,Cochise,Music,"MPEG audio file",Rock,5339931
86,Audioslave,Audioslave,"Show Me How to Live",Music,"MPEG audio file",Rock,6672176
87,Audioslave,Audioslave,Gasoline,Music,"MPEG audio file",Rock,6709793
88,Audioslave,Audioslave,"What You Are",Music,"MPEG audio file",Rock,5988186
89,Audioslave,Audioslave,"Like a Stone",Music,"MPEG audio file",Rock,7059624
90,Audioslave,Audioslave,"Set It Off",Music,"MPEG audio file",Rock,6321091
91,Audioslave,Audioslave,"Shadow on the Sun",Music,"MPEG audio file",Rock,8245793
92,Audioslave,Audioslave,"I am the Highway",Music,"MPEG audio file",Rock,8041411
93,Audioslave,Audioslave,Exploder,Music,"MPEG audio file",Rock,4948095
94,Audioslave,Audioslave,Hypnotize,Music,"MPEG audio file",Rock,4961887
95,Audioslave,Audioslave,"Bring'em Back Alive",Music,"MPEG audio file",Rock,7911634
96,Audioslave,Audioslave,"Light My Way",Music,"MPEG audio file",Rock,7289084
97,Audioslave,Audioslave,"Getaway Car",Music,"MPEG audio file",Rock,7193162
98,Audioslave,Audioslave,"The Last Remaining Light",Music,"MPEG audio file",Rock,7622615
99,Audioslave,"Out Of Exile","Your Time Has Come",Music,"MPEG audio file","Alternative & Punk",8273592
100,Audioslave,"Out Of Exile","Out Of Exile",Music,"MPEG audio file","Alternative & Punk",9506571
101,Audioslave,"Out Of Exile","Be Yourself",Music,"MPEG audio file","Alternative & Punk",9106160
102,Audioslave,"Out Of Exile","Doesn't Remind Me",Music,"MPEG audio file","Alternative & Punk",8357387
103,Audioslave,"Out Of Exile","Drown Me Slowly",Music,"MPEG audio file","Alternative & Punk",7609178
104,Audioslave,"Out Of Exile","Heaven's Dead",Music,"MPEG audio file","Alternative & Punk",9006158
105,Audioslave,"Out Of Exile","The Worm",Music,"MPEG audio file","Alternative & Punk",7710800
106,Audioslave,"Out Of Exile","Man Or Animal",Music,"MPEG audio file","Alternative & Punk",7542942
107,Audioslave,"Out Of Exile","Yesterday To Tomorrow",Music,"MPEG audio file","Alternative & Punk",8944205
108,Audioslave,"Out Of Exile",Dandelion,Music,"MPEG audio file","Alternative & Punk",9003592
109,Audioslave,"Out Of Exile","#1 Zero",Music,"MPEG audio file","Alternative & Punk",9731988
110,Audioslave,"Out Of Exile","The Curse",Music,"MPEG audio file","Alternative & Punk",10029406
111,BackBeat,"BackBeat Soundtrack",Money,Music,"MPEG audio file","Rock And Roll",2365897
111,BackBeat,"BackBeat Soundtrack",Money,"90’s Music","MPEG audio file","Rock And Roll",2365897
112,BackBeat,"BackBeat Soundtrack","Long Tall Sally",Music,"MPEG audio file","Rock And Roll",1707084
112,BackBeat,"BackBeat Soundtrack","Long Tall Sally","90’s Music","MPEG audio file","Rock And Roll",1707084
113,BackBeat,"BackBeat Soundtrack","Bad Boy",Music,"MPEG audio file","Rock And Roll",1862126
113,BackBeat,"BackBeat Soundtrack","Bad Boy","90’s Music","MPEG audio file","Rock And Roll",1862126
114,BackBeat,"BackBeat Soundtrack","Twist And Shout",Music,"MPEG audio file","Rock And Roll",2582553
114,BackBeat,"BackBeat Soundtrack","Twist And Shout","90’s Music","MPEG audio file","Rock And Roll",2582553
115,BackBeat,"BackBeat Soundtrack","Please Mr. Postman",Music,"MPEG audio file","Rock And Roll",2206986
115,BackBeat,"BackBeat Soundtrack","Please Mr. Postman","90’s Music","MPEG audio file","Rock And Roll",2206986
116,BackBeat,"BackBeat Soundtrack","C'Mon Everybody",Music,"MPEG audio file","Rock And Roll",2247846
116,BackBeat,"BackBeat Soundtrack","C'Mon Everybody","90’s Music","MPEG audio file","Rock And Roll",2247846
117,BackBeat,"BackBeat Soundtrack","Rock 'N' Roll Music",Music,"MPEG audio file","Rock And Roll",2276788
117,BackBeat,"BackBeat Soundtrack","Rock 'N' Roll Music","90’s Music","MPEG audio file","Rock And Roll",2276788
118,BackBeat,"BackBeat Soundtrack","Slow Down",Music,"MPEG audio file","Rock And Roll",2616981
118,BackBeat,"BackBeat Soundtrack","Slow Down","90’s Music","MPEG audio file","Rock And Roll",2616981
119,BackBeat,"BackBeat Soundtrack",Roadrunner,Music,"MPEG audio file","Rock And Roll",2301989
119,BackBeat,"BackBeat Soundtrack",Roadrunner,"90’s Music","MPEG audio file","Rock And Roll",2301989
120,BackBeat,"BackBeat Soundtrack",Carol,Music,"MPEG audio file","Rock And Roll",2306019
120,BackBeat,"BackBeat Soundtrack",Carol,"90’s Music","MPEG audio file","Rock And Roll",2306019
121,BackBeat,"BackBeat Soundtrack","Good Golly Miss Molly",Music,"MPEG audio file","Rock And Roll",1704918
121,BackBeat,"BackBeat Soundtrack","Good Golly Miss Molly","90’s Music","MPEG audio file","Rock And Roll",1704918
122,BackBeat,"BackBeat Soundtrack","20 Flight Rock",Music,"MPEG audio file","Rock And Roll",1299960
122,BackBeat,"BackBeat Soundtrack","20 Flight Rock","90’s Music","MPEG audio file","Rock And Roll",1299960
123,"Billy Cobham","The Best Of Billy Cobham",Quadrant,Music,"MPEG audio file",Jazz,8538199
124,"Billy Cobham","The Best Of Billy Cobham","Snoopy's search-Red baron",Music,"MPEG audio file",Jazz,15075616
125,"Billy Cobham","The Best Of Billy Cobham","Spanish moss-""A sound portrait""-Spanish moss",Music,"MPEG audio file",Jazz,8217867
126,"Billy Cobham","The Best Of Billy Cobham","Moon germs",Music,"MPEG audio file",Jazz,9714812
127,"Billy Cobham","The Best Of Billy Cobham",Stratus,Music,"MPEG audio file",Jazz,19115680
128,"Billy Cobham","The Best Of Billy Cobham","The pleasant pheasant",Music,"MPEG audio file",Jazz,10630578
129,"Billy Cobham","The Best Of Billy Cobham",Solo-Panhandler,Music,"MPEG audio file",Jazz,8230661
130,"Billy Cobham","The Best Of Billy Cobham","Do what cha wanna",Music,"MPEG audio file",Jazz,9018565
131,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","Intro/ Low Down",Music,"MPEG audio file",Metal,10642901
132,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","13 Years Of Grief",Music,"MPEG audio file",Metal,8137421
133,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","Stronger Than Death",Music,"MPEG audio file",Metal,9869647
134,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","All For You",Music,"MPEG audio file",Metal,7726948
135,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","Super Terrorizer",Music,"MPEG audio file",Metal,10513905
136,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","Phoney Smile Fake Hellos",Music,"MPEG audio file",Metal,9011701
137,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","Lost My Better Half",Music,"MPEG audio file",Metal,9355309
138,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","Bored To Tears",Music,"MPEG audio file",Metal,8130090
139,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]",A.N.D.R.O.T.A.Z.,Music,"MPEG audio file",Metal,8574746
140,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","Born To Booze",Music,"MPEG audio file",Metal,9257358
141,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","World Of Trouble",Music,"MPEG audio file",Metal,11820932
142,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","No More Tears",Music,"MPEG audio file",Metal,18041629
143,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","The Begining... At Last",Music,"MPEG audio file",Metal,11965109
144,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 2]","Heart Of Gold",Music,"MPEG audio file",Metal,6417460
145,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 2]",Snowblind,Music,"MPEG audio file",Metal,13842549
146,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 2]","Like A Bird",Music,"MPEG audio file",Metal,9115657
147,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 2]","Blood In The Wall",Music,"MPEG audio file",Metal,9359475
148,"Black Label Society","Alcohol Fueled Brewtality Live! [Disc 2]","The Beginning...At Last",Music,"MPEG audio file",Metal,8975814
149,"Black Sabbath","Black Sabbath","Black Sabbath",Music,"MPEG audio file",Metal,12440200
150,"Black Sabbath","Black Sabbath","The Wizard",Music,"MPEG audio file",Metal,8646737
151,"Black Sabbath","Black Sabbath","Behind The Wall Of Sleep",Music,"MPEG audio file",Metal,7169049
152,"Black Sabbath","Black Sabbath",N.I.B.,Music,"MPEG audio file",Metal,12029390
152,"Black Sabbath","Black Sabbath",N.I.B.,"Heavy Metal Classic","MPEG audio file",Metal,12029390
153,"Black Sabbath","Black Sabbath","Evil Woman",Music,"MPEG audio file",Metal,6655170
154,"Black Sabbath","Black Sabbath","Sleeping Village",Music,"MPEG audio file",Metal,21128525
155,"Black Sabbath","Black Sabbath",Warning,Music,"MPEG audio file",Metal,6893363
156,"Black Sabbath","Black Sabbath Vol. 4 (Remaster)","Wheels Of Confusion / The Straightener",Music,"MPEG audio file",Metal,16065830
157,"Black Sabbath","Black Sabbath Vol. 4 (Remaster)","Tomorrow's Dream",Music,"MPEG audio file",Metal,6252071
158,"Black Sabbath","Black Sabbath Vol. 4 (Remaster)",Changes,Music,"MPEG audio file",Metal,9175517
159,"Black Sabbath","Black Sabbath Vol. 4 (Remaster)",FX,Music,"MPEG audio file",Metal,3331776
160,"Black Sabbath","Black Sabbath Vol. 4 (Remaster)",Supernaut,Music,"MPEG audio file",Metal,9245971
160,"Black Sabbath","Black Sabbath Vol. 4 (Remaster)",Supernaut,"Heavy Metal Classic","MPEG audio file",Metal,9245971
161,"Black Sabbath","Black Sabbath Vol. 4 (Remaster)",Snowblind,Music,"MPEG audio file",Metal,10813386
162,"Black Sabbath","Black Sabbath Vol. 4 (Remaster)",Cornucopia,Music,"MPEG audio file",Metal,7653880
163,"Black Sabbath","Black Sabbath Vol. 4 (Remaster)","Laguna Sunrise",Music,"MPEG audio file",Metal,5671374
164,"Black Sabbath","Black Sabbath Vol. 4 (Remaster)","St. Vitus Dance",Music,"MPEG audio file",Metal,4884969
165,"Black Sabbath","Black Sabbath Vol. 4 (Remaster)","Under The Sun/Every Day Comes and Goes",Music,"MPEG audio file",Metal,11360486
166,"Body Count","Body Count","Smoked Pork",Music,"MPEG audio file","Alternative & Punk",1549074
166,"Body Count","Body Count","Smoked Pork","90’s Music","MPEG audio file","Alternative & Punk",1549074
167,"Body Count","Body Count","Body Count's In The House",Music,"MPEG audio file","Alternative & Punk",6715413
167,"Body Count","Body Count","Body Count's In The House","90’s Music","MPEG audio file","Alternative & Punk",6715413
168,"Body Count","Body Count","Now Sports",Music,"MPEG audio file","Alternative & Punk",161266
168,"Body Count","Body Count","Now Sports","90’s Music","MPEG audio file","Alternative & Punk",161266
169,"Body Count","Body Count","Body Count",Music,"MPEG audio file","Alternative & Punk",10489139
169,"Body Count","Body Count","Body Count","90’s Music","MPEG audio file","Alternative & Punk",10489139
170,"Body Count","Body Count","A Statistic",Music,"MPEG audio file","Alternative & Punk",211997
170,"Body Count","Body Count","A Statistic","90’s Music","MPEG audio file","Alternative & Punk",211997
171,"Body Count","Body Count","Bowels Of The Devil",Music,"MPEG audio file","Alternative & Punk",7324125
171,"Body Count","Body Count","Bowels Of The Devil","90’s Music","MPEG audio file","Alternative & Punk",7324125
172,"Body Count","Body Count","The Real Problem",Music,"MPEG audio file","Alternative & Punk",387360
172,"Body Count","Body Count","The Real Problem","90’s Music","MPEG audio file","Alternative & Punk",387360
173,"Body Count","Body Count","KKK Bitch",Music,"MPEG audio file","Alternative & Punk",5709631
173,"Body Count","Body Count","KKK Bitch","90’s Music","MPEG audio file","Alternative & Punk",5709631
174,"Body Count","Body Count","D Note",Music,"MPEG audio file","Alternative & Punk",3067064
174,"Body Count","Body Count","D Note","90’s Music","MPEG audio file","Alternative & Punk",3067064
175,"Body Count","Body Count",Voodoo,Music,"MPEG audio file","Alternative & Punk",9875962
175,"Body Count","Body Count",Voodoo,"90’s Music","MPEG audio file","Alternative & Punk",9875962
176,"Body Count","Body Count","The Winner Loses",Music,"MPEG audio file","Alternative & Punk",12843821
176,"Body Count","Body Count","The Winner Loses","90’s Music","MPEG audio file","Alternative & Punk",12843821
177,"Body Count","Body Count","There Goes The Neighborhood",Music,"MPEG audio file","Alternative & Punk",11443471
177,"Body Count","Body Count","There Goes The Neighborhood","90’s Music","MPEG audio file","Alternative & Punk",11443471
178,"Body Count","Body Count",Oprah,Music,"MPEG audio file","Alternative & Punk",224313
178,"Body Count","Body Count",Oprah,"90’s Music","MPEG audio file","Alternative & Punk",224313
179,"Body Count","Body Count","Evil Dick",Music,"MPEG audio file","Alternative & Punk",7828873
179,"Body Count","Body Count","Evil Dick","90’s Music","MPEG audio file","Alternative & Punk",7828873
180,"Body Count","Body Count","Body Count Anthem",Music,"MPEG audio file","Alternative & Punk",5463690
180,"Body Count","Body Count","Body Count Anthem","90’s Music","MPEG audio file","Alternative & Punk",5463690
181,"Body Count","Body Count","Momma's Gotta Die Tonight",Music,"MPEG audio file","Alternative & Punk",12122946
181,"Body Count","Body Count","Momma's Gotta Die Tonight","90’s Music","MPEG audio file","Alternative & Punk",12122946
182,"Body Count","Body Count","Freedom Of Speech",Music,"MPEG audio file","Alternative & Punk",9337917
182,"Body Count","Body Count","Freedom Of Speech","90’s Music","MPEG audio file","Alternative & Punk",9337917
183,"Bruce Dickinson","Chemical Wedding","King In Crimson",Music,"MPEG audio file",Metal,9218499
183,"Bruce Dickinson","Chemical Wedding","King In Crimson","90’s Music","MPEG audio file",Metal,9218499
184,"Bruce Dickinson","Chemical Wedding","Chemical Wedding",Music,"MPEG audio file",Metal,8022764
184,"Bruce Dickinson","Chemical Wedding","Chemical Wedding","90’s Music","MPEG audio file",Metal,8022764
185,"Bruce Dickinson","Chemical Wedding","The Tower",Music,"MPEG audio file",Metal,9435693
185,"Bruce Dickinson","Chemical Wedding","The Tower","90’s Music","MPEG audio file",Metal,9435693
186,"Bruce Dickinson","Chemical Wedding","Killing Floor",Music,"MPEG audio file",Metal,8854240
186,"Bruce Dickinson","Chemical Wedding","Killing Floor","90’s Music","MPEG audio file",Metal,8854240
187,"Bruce Dickinson","Chemical Wedding","Book Of Thel",Music,"MPEG audio file",Metal,16034404
187,"Bruce Dickinson","Chemical Wedding","Book Of Thel","90’s Music","MPEG audio file",Metal,16034404
188,"Bruce Dickinson","Chemical Wedding","Gates Of Urizen",Music,"MPEG audio file",Metal,8627004
188,"Bruce Dickinson","Chemical Wedding","Gates Of Urizen","90’s Music","MPEG audio file",Metal,8627004
189,"Bruce Dickinson","Chemical Wedding",Jerusalem,Music,"MPEG audio file",Metal,13194463
189,"Bruce Dickinson","Chemical Wedding",Jerusalem,"90’s Music","MPEG audio file",Metal,13194463
