State,StateFIPS,CountyFIPS,AreaName,All_Poverty,M_Poverty,F_Poverty
AL,01,115,"St. Clair County, Alabama",13417,6115,7302
AL,01,117,"Shelby County, Alabama",16693,7492,9201
AL,01,119,"Sumter County, Alabama",5372,2187,3185
AL,01,121,"Talladega County, Alabama",17950,7613,10337
AL,01,123,"Tallapoosa County, Alabama",9117,3646,5471
AL,01,125,"Tuscaloosa County, Alabama",36274,15124,21150
AL,01,127,"Walker County, Alabama",14598,6480,8118
AL,01,129,"Washington County, Alabama",3200,1367,1833
AL,01,131,"Wilcox County, Alabama",4126,1910,2216
AL,01,133,"Winston County, Alabama",5157,2035,3122
AR,05,001,"Arkansas County, Arkansas",3705,1514,2191
AR,05,003,"Ashley County, Arkansas",4352,1961,2391
AR,05,005,"Baxter County, Arkansas",6452,3062,3390
AR,05,007,"Benton County, Arkansas",28804,13213,15591
AR,05,009,"Boone County, Arkansas",6465,2751,3714
AR,05,011,"Bradley County, Arkansas",3218,1350,1868
AR,05,013,"Calhoun County, Arkansas",907,409,498
AR,05,015,"Carroll County, Arkansas",5001,2173,2828
AR,05,017,"Chicot County, Arkansas",3385,1350,2035
AR,05,019,"Clark County, Arkansas",4716,1872,2844
AR,05,021,"Clay County, Arkansas",3324,1472,1852
AR,05,023,"Cleburne County, Arkansas",3676,1696,1980
AR,05,025,"Cleveland County, Arkansas",1751,785,966
AR,05,027,"Columbia County, Arkansas",5823,2540,3283
AR,05,029,"Conway County, Arkansas",4709,2344,2365
AR,05,031,"Craighead County, Arkansas",19715,8920,10795
AR,05,033,"Crawford County, Arkansas",11304,5456,5848
AR,05,035,"Crittenden County, Arkansas",11802,4745,7057
AR,05,037,"Cross County, Arkansas",3461,1459,2002
AR,05,039,"Dallas County, Arkansas",1141,521,620
AR,05,041,"Desha County, Arkansas",4029,1628,2401
AR,05,043,"Drew County, Arkansas",5023,2381,2642
AR,05,045,"Faulkner County, Arkansas",17768,7625,10143
AR,05,047,"Franklin County, Arkansas",3854,1651,2203
AR,05,049,"Fulton County, Arkansas",2383,1094,1289
AR,05,051,"Garland County, Arkansas",19802,9205,10597
AR,05,053,"Grant County, Arkansas",2134,943,1191
AR,05,055,"Greene County, Arkansas",7572,3161,4411
AR,05,057,"Hempstead County, Arkansas",5940,2685,3255
AR,05,059,"Hot Spring County, Arkansas",5975,2520,3455
AR,05,061,"Howard County, Arkansas",2910,1276,1634
AR,05,063,"Independence County, Arkansas",7783,3287,4496
AR,05,065,"Izard County, Arkansas",2663,1346,1317
AR,05,067,"Jackson County, Arkansas",3819,1759,2060
AR,05,069,"Jefferson County, Arkansas",17205,7764,9441
AR,05,071,"Johnson County, Arkansas",5574,2492,3082
AR,05,073,"Lafayette County, Arkansas",1731,692,1039
AR,05,075,"Lawrence County, Arkansas",3899,1796,2103
AR,05,077,"Lee County, Arkansas",2304,969,1335
AR,05,079,"Lincoln County, Arkansas",2257,1003,1254
AR,05,081,"Little River County, Arkansas",2402,1074,1328
AR,05,083,"Logan County, Arkansas",4158,1995,2163
AR,05,085,"Lonoke County, Arkansas",8697,3814,4883
AR,05,087,"Madison County, Arkansas",3183,1329,1854
AR,05,089,"Marion County, Arkansas",3064,1345,1719
AR,05,091,"Miller County, Arkansas",8594,3519,5075
AR,05,093,"Mississippi County, Arkansas",11781,4964,6817
AR,05,095,"Monroe County, Arkansas",2501,1078,1423
AR,05,097,"Montgomery County, Arkansas",1620,728,892
AR,05,099,"Nevada County, Arkansas",2424,1176,1248
AR,05,101,"Newton County, Arkansas",1637,648,989
AR,05,103,"Ouachita County, Arkansas",5948,2211,3737
AR,05,105,"Perry County, Arkansas",1624,509,1115
AR,05,107,"Phillips County, Arkansas",6882,2991,3891
AR,05,109,"Pike County, Arkansas",2199,999,1200
AR,05,111,"Poinsett County, Arkansas",5416,2410,3006
AR,05,113,"Polk County, Arkansas",4878,2389,2489
AR,05,115,"Pope County, Arkansas",11818,5525,6293
AR,05,117,"Prairie County, Arkansas",1766,775,991
AR,05,119,"Pulaski County, Arkansas",67908,30871,37037
AR,05,121,"Randolph County, Arkansas",3651,1897,1754
AR,05,123,"St. Francis County, Arkansas",5857,2661,3196
AR,05,125,"Saline County, Arkansas",10176,4896,5280
AR,05,127,"Scott County, Arkansas",2165,1061,1104
AR,05,129,"Searcy County, Arkansas",1855,986,869
AR,05,131,"Sebastian County, Arkansas",28975,12570,16405
AR,05,133,"Sevier County, Arkansas",3755,1807,1948
AR,05,135,"Sharp County, Arkansas",3944,1700,2244
AR,05,137,"Stone County, Arkansas",3042,1414,1628
AR,05,139,"Union County, Arkansas",8172,3577,4595
AR,05,141,"Van Buren County, Arkansas",3574,1438,2136
AR,05,143,"Washington County, Arkansas",41846,19505,22341
AR,05,145,"White County, Arkansas",14175,6412,7763
AR,05,147,"Woodruff County, Arkansas",1612,740,872
AR,05,149,"Yell County, Arkansas",4009,1862,2147
AZ,04,001,"Apache County, Arizona",25852,12854,12998
AZ,04,003,"Cochise County, Arizona",21102,8595,12507
AZ,04,005,"Coconino County, Arizona",28824,13662,15162
AZ,04,007,"Gila County, Arizona",11839,5365,6474
AZ,04,009,"Graham County, Arizona",7446,3377,4069
AZ,04,011,"Greenlee County, Arizona",1215,538,677
AZ,04,012,"La Paz County, Arizona",3824,1851,1973
AZ,04,013,"Maricopa County, Arizona",673527,313707,359820
AZ,04,015,"Mohave County, Arizona",38874,18410,20464
AZ,04,017,"Navajo County, Arizona",32141,15025,17116
AZ,04,019,"Pima County, Arizona",187250,86251,100999
AZ,04,021,"Pinal County, Arizona",63201,28120,35081
AZ,04,023,"Santa Cruz County, Arizona",10970,5162,5808
AZ,04,025,"Yavapai County, Arizona",34117,16249,17868
AZ,04,027,"Yuma County, Arizona",40508,18351,22157
CA,06,001,"Alameda County, California",194639,87343,107296
CA,06,003,"Alpine County, California",195,106,89
CA,06,005,"Amador County, California",4191,1886,2305
CA,06,007,"Butte County, California",47532,23533,23999
CA,06,009,"Calaveras County, California",5590,2433,3157
CA,06,011,"Colusa County, California",3171,1590,1581
CA,06,013,"Contra Costa County, California",117915,52269,65646
CA,06,015,"Del Norte County, California",5207,2385,2822
CA,06,017,"El Dorado County, California",18831,9082,9749
CA,06,019,"Fresno County, California",252187,117772,134415
CA,06,021,"Glenn County, California",5721,2544,3177
CA,06,023,"Humboldt County, California",28158,13202,14956
CA,06,025,"Imperial County, California",40114,18036,22078
CA,06,027,"Inyo County, California",2019,907,1112
CA,06,029,"Kern County, California",195744,87585,108159
CA,06,031,"Kings County, California",29900,13392,16508
CA,06,033,"Lake County, California",15597,7932,7665
CA,06,035,"Lassen County, California",3563,1814,1749
CA,06,037,"Los Angeles County, California",1800265,823612,976653
CA,06,039,"Madera County, California",33968,15721,18247
CA,06,041,"Marin County, California",20964,9707,11257
CA,06,043,"Mariposa County, California",2651,1264,1387
CA,06,045,"Mendocino County, California",17527,8215,9312
CA,06,047,"Merced County, California",67417,32269,35148
CA,06,049,"Modoc County, California",1673,833,840
CA,06,051,"Mono County, California",684,344,340
CA,06,053,"Monterey County, California",69475,31992,37483
CA,06,055,"Napa County, California",14020,6923,7097
CA,06,057,"Nevada County, California",12367,5582,6785
CA,06,059,"Orange County, California",395483,182267,213216
CA,06,061,"Placer County, California",32427,15480,16947
CA,06,063,"Plumas County, California",2687,1168,1519
CA,06,065,"Riverside County, California",379985,175705,204280
CA,06,067,"Sacramento County, California",262251,122854,139397
CA,06,069,"San Benito County, California",6202,2722,3480
CA,06,071,"San Bernardino County, California",397766,178898,218868
CA,06,073,"San Diego County, California",454876,210952,243924
CA,06,075,"San Francisco County, California",109524,52571,56953
CA,06,077,"San Joaquin County, California",129390,59724,69666
CA,06,079,"San Luis Obispo County, California",38630,18816,19814
CA,06,081,"San Mateo County, California",59232,26750,32482
CA,06,083,"Santa Barbara County, California",68017,32772,35245
CA,06,085,"Santa Clara County, California",175690,81461,94229
CA,06,087,"Santa Cruz County, California",39053,17482,21571
CA,06,089,"Shasta County, California",31707,14584,17123
CA,06,091,"Sierra County, California",438,180,258
CA,06,093,"Siskiyou County, California",10026,4814,5212
CA,06,095,"Solano County, California",55534,24891,30643
CA,06,097,"Sonoma County, California",57179,26643,30536
CA,06,099,"Stanislaus County, California",105927,48153,57774
CA,06,101,"Sutter County, California",16743,7675,9068
CA,06,103,"Tehama County, California",12313,5604,6709
CA,06,105,"Trinity County, California",2562,1226,1336
CA,06,107,"Tulare County, California",125775,60834,64941
CA,06,109,"Tuolumne County, California",7010,3092,3918
CA,06,111,"Ventura County, California",91880,42180,49700
CA,06,113,"Yolo County, California",39688,18185,21503
CA,06,115,"Yuba County, California",15862,7384,8478
CO,08,001,"Adams County, Colorado",64241,29134,35107
CO,08,003,"Alamosa County, Colorado",4396,1771,2625
CO,08,005,"Arapahoe County, Colorado",67679,31140,36539
CO,08,007,"Archuleta County, Colorado",1405,661,744
CO,08,009,"Baca County, Colorado",736,308,428
CO,08,011,"Bent County, Colorado",923,473,450
CO,08,013,"Boulder County, Colorado",42167,20822,21345
CO,08,014,"Broomfield County, Colorado",3930,1582,2348
CO,08,015,"Chaffee County, Colorado",1502,647,855
CO,08,017,"Cheyenne County, Colorado",168,78,90
CO,08,019,"Clear Creek County, Colorado",748,352,396
CO,08,021,"Conejos County, Colorado",1491,735,756
CO,08,023,"Costilla County, Colorado",850,354,496
CO,08,025,"Crowley County, Colorado",1449,587,862
CO,08,027,"Custer County, Colorado",736,385,351
CO,08,029,"Delta County, Colorado",4716,2086,2630
CO,08,031,"Denver County, Colorado",110299,52215,58084
CO,08,033,"Dolores County, Colorado",398,218,180
CO,08,035,"Douglas County, Colorado",12110,5653,6457
CO,08,037,"Eagle County, Colorado",4780,2769,2011
CO,08,039,"Elbert County, Colorado",1649,819,830
CO,08,041,"El Paso County, Colorado",75033,33973,41060
CO,08,043,"Fremont County, Colorado",6272,2828,3444
CO,08,045,"Garfield County, Colorado",6786,3452,3334
CO,08,047,"Gilpin County, Colorado",413,188,225
CO,08,049,"Grand County, Colorado",1543,733,810
CO,08,051,"Gunnison County, Colorado",2509,1163,1346
CO,08,053,"Hinsdale County, Colorado",70,34,36
CO,08,055,"Huerfano County, Colorado",1171,646,525
CO,08,057,"Jackson County, Colorado",155,71,84
CO,08,059,"Jefferson County, Colorado",46423,20756,25667
CO,08,061,"Kiowa County, Colorado",189,68,121
CO,08,063,"Kit Carson County, Colorado",1157,444,713
CO,08,065,"Lake County, Colorado",833,373,460
CO,08,067,"La Plata County, Colorado",5432,2273,3159
CO,08,069,"Larimer County, Colorado",42338,19766,22572
CO,08,071,"Las Animas County, Colorado",2055,1039,1016
CO,08,073,"Lincoln County, Colorado",624,223,401
CO,08,075,"Logan County, Colorado",3529,1745,1784
CO,08,077,"Mesa County, Colorado",22545,10438,12107
CO,08,079,"Mineral County, Colorado",56,18,38
CO,08,081,"Moffat County, Colorado",1462,703,759
CO,08,083,"Montezuma County, Colorado",4550,2193,2357
CO,08,085,"Montrose County, Colorado",7644,3476,4168
CO,08,087,"Morgan County, Colorado",3218,1172,2046
CO,08,089,"Otero County, Colorado",4396,2097,2299
CO,08,091,"Ouray County, Colorado",355,174,181
CO,08,093,"Park County, Colorado",1170,563,607
CO,08,095,"Phillips County, Colorado",658,293,365
CO,08,097,"Pitkin County, Colorado",1709,663,1046
CO,08,099,"Prowers County, Colorado",2264,993,1271
CO,08,101,"Pueblo County, Colorado",31017,14201,16816
CO,08,103,"Rio Blanco County, Colorado",1113,521,592
CO,08,105,"Rio Grande County, Colorado",2198,1070,1128
CO,08,107,"Routt County, Colorado",2369,1338,1031
CO,08,109,"Saguache County, Colorado",1450,609,841
CO,08,111,"San Juan County, Colorado",100,48,52
CO,08,113,"San Miguel County, Colorado",854,398,456
CO,08,115,"Sedgwick County, Colorado",335,138,197
CO,08,117,"Summit County, Colorado",3949,1928,2021
CO,08,119,"Teller County, Colorado",1728,826,902
CO,08,121,"Washington County, Colorado",466,184,282
CO,08,123,"Weld County, Colorado",34007,15469,18538
CO,08,125,"Yuma County, Colorado",1451,599,852
CT,09,001,"Fairfield County, Connecticut",82743,36089,46654
CT,09,003,"Hartford County, Connecticut",104196,46770,57426
CT,09,005,"Litchfield County, Connecticut",12893,6253,6640
CT,09,007,"Middlesex County, Connecticut",10710,4712,5998
CT,09,009,"New Haven County, Connecticut",108533,46592,61941
CT,09,011,"New London County, Connecticut",25766,11243,14523
CT,09,013,"Tolland County, Connecticut",9511,4404,5107
CT,09,015,"Windham County, Connecticut",11999,4937,7062
DC,11,001,"District of Columbia, District of Columbia",110365,48069,62296
DE,10,001,"Kent County, Delaware",22074,9294,12780
DE,10,003,"New Castle County, Delaware",60487,25747,34740
DE,10,005,"Sussex County, Delaware",25754,11078,14676
FL,12,001,"Alachua County, Florida",58203,27526,30677
FL,12,003,"Baker County, Florida",4393,1849,2544
FL,12,005,"Bay County, Florida",26235,11556,14679
FL,12,007,"Bradford County, Florida",4896,2208,2688
FL,12,009,"Brevard County, Florida",76460,35131,41329
FL,12,011,"Broward County, Florida",265880,119303,146577
FL,12,013,"Calhoun County, Florida",2407,1034,1373
FL,12,015,"Charlotte County, Florida",19760,8772,10988
FL,12,017,"Citrus County, Florida",23903,10602,13301
FL,12,019,"Clay County, Florida",20580,9158,11422
FL,12,021,"Collier County, Florida",47436,22674,24762
FL,12,023,"Columbia County, Florida",12498,5458,7040
FL,12,027,"DeSoto County, Florida",10123,5668,4455
FL,12,029,"Dixie County, Florida",3061,1320,1741
FL,12,031,"Duval County, Florida",150792,66314,84478
FL,12,033,"Escambia County, Florida",45308,20987,24321
FL,12,035,"Flagler County, Florida",14814,6979,7835
FL,12,037,"Franklin County, Florida",1977,872,1105
FL,12,039,"Gadsden County, Florida",11907,5937,5970
FL,12,041,"Gilchrist County, Florida",3598,1705,1893
FL,12,043,"Glades County, Florida",2408,1150,1258
FL,12,045,"Gulf County, Florida",1924,830,1094
FL,12,047,"Hamilton County, Florida",3234,1467,1767
FL,12,049,"Hardee County, Florida",7029,3262,3767
FL,12,051,"Hendry County, Florida",9696,4898,4798
FL,12,053,"Hernando County, Florida",27375,12662,14713
FL,12,055,"Highlands County, Florida",18863,9056,9807
FL,12,057,"Hillsborough County, Florida",217684,98476,119208
FL,12,059,"Holmes County, Florida",4903,2374,2529
FL,12,061,"Indian River County, Florida",20272,8950,11322
FL,12,063,"Jackson County, Florida",9090,4056,5034
FL,12,065,"Jefferson County, Florida",1862,741,1121
FL,12,067,"Lafayette County, Florida",1425,563,862
FL,12,069,"Lake County, Florida",42497,19644,22853
FL,12,071,"Lee County, Florida",105166,48604,56562
FL,12,073,"Leon County, Florida",60286,28018,32268
FL,12,075,"Levy County, Florida",8601,4159,4442
FL,12,077,"Liberty County, Florida",1237,711,526
FL,12,079,"Madison County, Florida",4269,1989,2280
FL,12,081,"Manatee County, Florida",51595,23144,28451
FL,12,083,"Marion County, Florida",60207,26829,33378
FL,12,085,"Martin County, Florida",17965,8725,9240
FL,12,086,"Miami-Dade County, Florida",530006,234079,295927
FL,12,087,"Monroe County, Florida",9998,4952,5046
FL,12,089,"Nassau County, Florida",9652,4524,5128
FL,12,091,"Okaloosa County, Florida",24595,11057,13538
FL,12,093,"Okeechobee County, Florida",9965,4747,5218
FL,12,095,"Orange County, Florida",212489,96829,115660
FL,12,097,"Osceola County, Florida",58146,26746,31400
FL,12,099,"Palm Beach County, Florida",197340,88523,108817
FL,12,101,"Pasco County, Florida",66144,29154,36990
FL,12,103,"Pinellas County, Florida",131643,58929,72714
FL,12,105,"Polk County, Florida",111877,50847,61030
FL,12,107,"Putnam County, Florida",20397,9041,11356
FL,12,109,"St. Johns County, Florida",19706,8625,11081
FL,12,111,"St. Lucie County, Florida",52201,24225,27976
FL,12,113,"Santa Rosa County, Florida",19063,8482,10581
FL,12,115,"Sarasota County, Florida",42386,19475,22911
FL,12,117,"Seminole County, Florida",52637,24575,28062
FL,12,119,"Sumter County, Florida",10802,4602,6200
FL,12,121,"Suwannee County, Florida",10012,4500,5512
FL,12,123,"Taylor County, Florida",2720,1226,1494
FL,12,125,"Union County, Florida",2002,814,1188
FL,12,127,"Volusia County, Florida",85881,39086,46795
FL,12,129,"Wakulla County, Florida",4101,1658,2443
FL,12,131,"Walton County, Florida",9804,5087,4717
FL,12,133,"Washington County, Florida",4723,2407,2316
GA,13,001,"Appling County, Georgia",3745,1485,2260
GA,13,003,"Atkinson County, Georgia",2370,1068,1302
GA,13,005,"Bacon County, Georgia",1919,850,1069
GA,13,007,"Baker County, Georgia",752,287,465
GA,13,009,"Baldwin County, Georgia",13201,5601,7600
GA,13,011,"Banks County, Georgia",3026,1497,1529
GA,13,013,"Barrow County, Georgia",10902,5099,5803
GA,13,015,"Bartow County, Georgia",15819,6659,9160
GA,13,017,"Ben Hill County, Georgia",6024,2511,3513
GA,13,019,"Berrien County, Georgia",4923,2088,2835
GA,13,021,"Bibb County, Georgia",40611,16798,23813
GA,13,023,"Bleckley County, Georgia",2616,1270,1346
GA,13,025,"Brantley County, Georgia",3812,1561,2251
GA,13,027,"Brooks County, Georgia",4265,1864,2401
GA,13,029,"Bryan County, Georgia",4487,1939,2548
GA,13,031,"Bulloch County, Georgia",21794,10148,11646
GA,13,033,"Burke County, Georgia",7131,3099,4032
GA,13,035,"Butts County, Georgia",4329,2023,2306
GA,13,037,"Calhoun County, Georgia",1924,891,1033
GA,13,039,"Camden County, Georgia",6365,2795,3570
GA,13,043,"Candler County, Georgia",3398,1480,1918
GA,13,045,"Carroll County, Georgia",22441,9360,13081
GA,13,047,"Catoosa County, Georgia",8061,3588,4473
GA,13,049,"Charlton County, Georgia",2010,1140,870
GA,13,051,"Chatham County, Georgia",50980,21510,29470
GA,13,053,"Chattahoochee County, Georgia",960,569,391
GA,13,055,"Chattooga County, Georgia",5488,2243,3245
GA,13,057,"Cherokee County, Georgia",24273,11323,12950
GA,13,059,"Clarke County, Georgia",40559,18801,21758
GA,13,061,"Clay County, Georgia",1285,579,706
GA,13,063,"Clayton County, Georgia",65787,29093,36694
GA,13,065,"Clinch County, Georgia",2339,915,1424
GA,13,067,"Cobb County, Georgia",87880,40060,47820
GA,13,069,"Coffee County, Georgia",9975,4089,5886
GA,13,071,"Colquitt County, Georgia",12086,5622,6464
GA,13,073,"Columbia County, Georgia",12517,5247,7270
GA,13,075,"Cook County, Georgia",4244,1837,2407
GA,13,077,"Coweta County, Georgia",17489,7061,10428
GA,13,079,"Crawford County, Georgia",2122,984,1138
GA,13,081,"Crisp County, Georgia",7468,3161,4307
GA,13,083,"Dade County, Georgia",2300,986,1314
GA,13,085,"Dawson County, Georgia",3156,1372,1784
GA,13,087,"Decatur County, Georgia",7418,3071,4347
GA,13,089,"DeKalb County, Georgia",135469,61067,74402
GA,13,091,"Dodge County, Georgia",4279,2065,2214
GA,13,093,"Dooly County, Georgia",3673,1729,1944
GA,13,095,"Dougherty County, Georgia",27557,11753,15804
GA,13,097,"Douglas County, Georgia",22118,9856,12262
GA,13,099,"Early County, Georgia",2916,1293,1623
GA,13,101,"Echols County, Georgia",1170,436,734
GA,13,103,"Effingham County, Georgia",5749,2473,3276
GA,13,105,"Elbert County, Georgia",3664,1459,2205
GA,13,107,"Emanuel County, Georgia",6700,3151,3549
GA,13,109,"Evans County, Georgia",2857,1127,1730
GA,13,111,"Fannin County, Georgia",5404,2047,3357
GA,13,113,"Fayette County, Georgia",9129,3883,5246
GA,13,115,"Floyd County, Georgia",19605,9048,10557
GA,13,117,"Forsyth County, Georgia",13547,5932,7615
GA,13,119,"Franklin County, Georgia",5122,2253,2869
GA,13,121,"Fulton County, Georgia",167391,72577,94814
GA,13,123,"Gilmer County, Georgia",6664,3541,3123
GA,13,125,"Glascock County, Georgia",483,237,246
GA,13,127,"Glynn County, Georgia",14981,6339,8642
GA,13,129,"Gordon County, Georgia",11188,5321,5867
GA,13,131,"Grady County, Georgia",7648,3529,4119
GA,13,133,"Greene County, Georgia",4033,1870,2163
GA,13,135,"Gwinnett County, Georgia",117553,54558,62995
GA,13,137,"Habersham County, Georgia",7220,3357,3863
GA,13,139,"Hall County, Georgia",34120,16393,17727
GA,13,141,"Hancock County, Georgia",2113,835,1278
GA,13,143,"Haralson County, Georgia",5724,2583,3141
GA,13,145,"Harris County, Georgia",2991,1317,1674
GA,13,147,"Hart County, Georgia",5403,2421,2982
GA,13,149,"Heard County, Georgia",2349,1048,1301
GA,13,151,"Henry County, Georgia",27162,11870,15292
GA,13,153,"Houston County, Georgia",25111,10623,14488
GA,13,155,"Irwin County, Georgia",2300,1081,1219
GA,13,157,"Jackson County, Georgia",8314,3770,4544
GA,13,159,"Jasper County, Georgia",2785,1269,1516
GA,13,161,"Jeff Davis County, Georgia",3309,1383,1926
GA,13,163,"Jefferson County, Georgia",4889,2228,2661
GA,13,165,"Jenkins County, Georgia",2984,1335,1649
GA,13,167,"Johnson County, Georgia",2125,1064,1061
GA,13,169,"Jones County, Georgia",4770,2119,2651
GA,13,171,"Lamar County, Georgia",3713,1794,1919
GA,13,173,"Lanier County, Georgia",2675,1226,1449
GA,13,175,"Laurens County, Georgia",12823,5604,7219
GA,13,177,"Lee County, Georgia",3417,1356,2061
GA,13,179,"Liberty County, Georgia",11047,4963,6084
GA,13,181,"Lincoln County, Georgia",1912,799,1113
GA,13,183,"Long County, Georgia",2936,1244,1692
GA,13,185,"Lowndes County, Georgia",28907,13270,15637
GA,13,187,"Lumpkin County, Georgia",5559,2398,3161
GA,13,189,"McDuffie County, Georgia",5410,2397,3013
GA,13,191,"McIntosh County, Georgia",2956,1296,1660
GA,13,193,"Macon County, Georgia",3639,1541,2098
GA,13,195,"Madison County, Georgia",4798,2176,2622
GA,13,197,"Marion County, Georgia",1836,640,1196
GA,13,199,"Meriwether County, Georgia",4733,2135,2598
GA,13,201,"Miller County, Georgia",1608,648,960
GA,13,205,"Mitchell County, Georgia",5905,2385,3520
GA,13,207,"Monroe County, Georgia",3492,1480,2012
GA,13,209,"Montgomery County, Georgia",2076,979,1097
GA,13,211,"Morgan County, Georgia",2529,1047,1482
GA,13,213,"Murray County, Georgia",7765,3685,4080
GA,13,215,"Muscogee County, Georgia",38921,16697,22224
GA,13,217,"Newton County, Georgia",17281,7478,9803
GA,13,219,"Oconee County, Georgia",2487,1084,1403
GA,13,221,"Oglethorpe County, Georgia",2316,1054,1262
GA,13,223,"Paulding County, Georgia",18445,7439,11006
GA,13,225,"Peach County, Georgia",5471,2439,3032
GA,13,227,"Pickens County, Georgia",3418,1479,1939
GA,13,229,"Pierce County, Georgia",4455,2269,2186
GA,13,231,"Pike County, Georgia",2132,1008,1124
GA,13,233,"Polk County, Georgia",8767,3831,4936
